year,month,day,hour,minute,lat,lon,node_1,node_2
2020,9,8,10,0,40.62775,-73.93462,42476209,42532498
2020,9,3,13,0,40.6828,-73.90638,42485893,42485894
2020,9,26,3,49,40.844105,-73.923065,42734314,60924188
2020,9,3,9,26,40.74702,-73.76428,42889266,42850141
2020,9,18,0,57,40.66494,-73.99664,449388516,449388143
2020,9,25,12,9,40.744778,-73.97589,42445382,5131026388
2020,10,8,15,50,40.68815,-73.81922,42837130,42931030
2020,9,27,12,30,40.821415,-73.90874,42739751,42756074
2020,10,10,0,0,40.895374,-73.86356,42739330,42741759
2020,10,10,2,40,40.714584,-74.00723,42431611,272195271
2020,9,11,8,30,40.66615,-73.80575,42875319,1369783101
2020,10,6,19,45,40.59039,-73.99155,42493330,4205909315
2020,9,13,1,20,40.839306,-73.87731,42745303,42746840
2020,9,26,17,0,40.771996,-73.933304,42824405,42824399
2020,10,9,14,15,40.556713,-74.17112,42956447,42956450
2020,10,10,19,39,40.675247,-73.950935,42522973,42481621
2020,9,27,14,0,40.75563,-73.77264,42860442,42860446
2020,9,6,7,10,40.807087,-73.94178,42434117,42446203
2020,9,4,6,10,40.763638,-73.83333,42806536,274304840
2020,9,21,15,35,40.850166,-73.93576,42428094,42429029
2020,9,10,10,23,40.800964,-73.971016,5004570627,42441907
2020,8,22,17,52,40.643635,-73.97746,42495230,42497281
2020,10,3,20,50,40.76174,-73.72421,42815490,42815495
2020,9,15,15,56,40.64798,-73.89151,42468396,42468397
2020,8,21,15,0,40.675972,-73.82502,42837666,42868593
2020,10,6,15,53,40.63128,-73.95622,42507812,42507780
2020,9,27,16,30,40.66937,-73.89523,42495632,42511299
2020,10,2,19,50,40.809776,-73.92241,42761233,42761235
2020,8,26,21,57,40.708324,-73.84314,461768283,461767551
2020,10,5,0,0,40.76791,-73.92542,42810491,42810482
2020,9,18,0,0,40.76817,-73.9528,42428010,42428012
2020,8,24,10,20,40.62419,-73.9481,42477009,42502526
2020,8,30,23,42,40.845352,-73.92821,529799006,529799493
2020,9,27,17,10,40.666595,-73.87176,1942055151,1942055156
2020,8,30,7,15,40.68918,-73.73617,42899146,42899147
2020,9,28,11,0,40.70938,-73.9371,42511123,42474044
2020,8,28,11,37,40.521835,-74.23504,43000925,43001097
2020,9,28,16,30,40.778084,-73.82688,274186688,274186775
2020,9,19,15,38,40.66937,-73.89523,42495632,42511299
2020,8,28,18,45,40.747295,-73.97405,42453999,42442931
2020,10,8,16,44,40.85053,-73.905136,42740237,42741307
2020,9,22,13,40,40.619934,-74.08151,42961284,42976057
2020,9,14,11,30,40.761158,-73.935,42825865,42861179
2020,8,28,12,8,40.847385,-73.88948,42729815,42759799
2020,8,26,0,0,40.80321,-73.91892,42753246,471247737
2020,9,12,22,19,40.715103,-73.90129,42807078,42807081
2020,9,26,16,9,40.831512,-73.877,42748364,42748367
2020,9,23,8,0,40.64592,-74.02384,42506266,4133858618
2020,10,7,8,0,40.675186,-73.873436,42488979,42484940
2020,8,25,20,0,40.668655,-73.88929,42467164,42472355
2020,9,16,18,30,40.766705,-73.89024,481250151,106133084
2020,10,7,15,46,40.775383,-73.923035,42826008,42826016
2020,9,29,17,50,40.81967,-73.94424,42433785,42435858
2020,9,10,9,0,40.745804,-74.00367,42443674,42443676
2020,10,1,20,27,40.75215,-73.991295,42439952,42435645
2020,9,28,10,48,40.828392,-73.84416,596455573,103580673
2020,9,25,14,45,40.625965,-73.9922,42477626,2620907638
2020,9,12,8,55,40.865303,-73.89006,42746214,42763076
2020,9,14,1,45,40.830936,-73.895676,42720079,42743841
2020,9,17,10,0,40.58814,-73.93179,42509808,5391550837
2020,9,30,12,0,40.703484,-73.81171,42919549,42861084
2020,9,9,21,30,40.694557,-73.94325,42492340,42492342
2020,10,2,5,40,40.675632,-73.89878,2954866560,2954866520
2020,8,26,11,13,40.74046,-73.886696,42843167,42843168
2020,10,8,8,45,40.740776,-73.850235,597378944,597378806
