year,month,day,hour,minute,lat,lon,node_1,node_2
2020,11,28,17,10,40.68039,-73.94956,42464972,42464975
2020,11,12,16,17,40.671555,-73.92807,42475027,42534032
2020,12,3,13,45,40.686646,-73.97982,42466306,42523195
2020,10,26,8,20,40.66856,-73.909485,42484982,42484984
2020,11,3,12,50,40.89466,-73.86137,42741759,42741775
2020,12,1,19,30,40.736496,-73.909225,42825371,597294481
2020,11,16,8,45,40.847614,-73.887794,42750067,42750061
2020,10,18,12,0,40.876854,-73.86311,42758987,2816691803
2020,10,26,6,58,40.61501,-73.99102,42485589,42488611
2020,11,13,19,35,40.673817,-73.95013,42473627,42481627
2020,11,13,19,0,40.79149,-73.93577,371209940,371239958
2020,10,21,7,0,40.66447,-73.89593,42477810,42477814
2020,11,25,10,5,40.81183,-73.96112,1506591534,1506599378
2020,11,27,10,42,40.760254,-73.76935,42913807,42914509
2020,10,25,13,15,40.72744,-73.95287,42496858,42516607
2020,10,16,9,11,40.611225,-74.11758,42944036,448041455
2020,10,18,14,0,40.801754,-73.93121,42438777,42444461
2020,12,7,13,30,40.659477,-73.908134,42500884,42511776
2020,12,5,8,30,40.687138,-73.987434,42527865,42492223
2020,11,6,8,7,40.643414,-73.90039,42512632,42512634
2020,12,6,0,0,40.608917,-73.95216,42470906,42532114
2020,10,29,0,0,40.66564,-73.77896,42894228,42837886
2020,12,7,12,22,40.75045,-73.9873,42430304,42430308
2020,11,25,15,10,40.65616,-73.76736,42792119,460000801
2020,11,25,12,40,40.69425,-73.91742,42486774,42496742
2020,10,21,16,40,40.735657,-73.9096,42806985,42881924
2020,11,17,23,10,40.838158,-73.92324,42734987,42757307
2020,10,24,21,0,40.62748,-74.01789,598357866,449588013
2020,10,26,23,58,40.712982,-74.00731,2821304137,2821304138
2020,11,24,7,24,40.88766,-73.899284,1544628238,1544628265
2020,10,20,8,52,40.75022,-73.979065,42445653,561042195
2020,11,21,11,35,40.694458,-73.752205,42890032,42890035
2020,11,3,9,30,40.63239,-74.11917,42950568,42950572
2020,11,7,16,18,40.630043,-73.945526,42464467,42483761
2020,10,17,21,30,40.686863,-73.96448,42479658,42501239
2020,10,22,13,42,40.752663,-73.87633,42882857,4956626604
2020,11,22,0,30,40.645134,-73.90232,42494160,42512622
2020,11,22,0,0,40.68949,-73.92207,42498796,42505530
2020,11,7,1,25,40.72545,-73.837776,276096342,42830578
2020,12,2,9,45,40.740692,-73.84418,42802490,42795228
2020,11,25,20,53,40.75468,-73.893745,42839067,42865986
2020,11,14,9,31,40.76236,-73.8148,42836824,42895043
2020,11,27,6,37,40.658295,-73.93109,42520965,42522040
2020,11,21,17,35,40.546944,-74.149666,42966591,42971532
2020,11,25,4,0,40.694305,-73.91852,42486764,42486769
2020,10,25,23,0,40.644753,-73.92493,42510827,42514050
2020,11,17,17,51,40.797943,-73.94003,42447199,42450071
2020,10,23,3,45,40.855385,-73.9181,60919842,595750842
2020,10,23,14,30,40.750313,-73.89549,42809153,42886090
2020,10,20,16,26,40.709988,-73.933304,42511131,42490325
2020,11,2,23,35,40.625984,-74.001526,42460288,42524065
2020,11,6,12,50,40.66331,-73.92106,42475560,2307901684
2020,11,3,11,25,40.586685,-73.81486,42843302,42846902
