year,month,day,hour,minute,AM/PM,location,type,gender
2023,2,26,6,46,PM,"520 Foundry St., Easton",PEDESTRIAN,M
2023,2,26,5,48,AM,"Green St., south of Eaton St., Gardner",PASSENGER,M
2023,2,26,5,48,AM,"Green St., south of Eaton St., Gardner",OPERATOR,F
2023,2,25,7,40,AM,"80 East Mountain St., Worcester",OPERATOR,M
2023,2,24,1,22,AM,"I-95 SOUTH, EXIT 33, Needham",PEDESTRIAN,M
2023,2,21,12,5,PM,"1215 Cranberry Hwy., Wareham",OPERATOR,M
2023,2,20,4,15,AM,"128 Dilla St., Milford",PEDESTRIAN,M
2023,2,19,9,0,PM,"I-93 NORTH, MM 5.8, Braintree",OPERATOR,M
2023,2,18,1,48,AM,"Bay St. + Tapley St., Springfield",PASSENGER,F
2023,2,18,1,48,AM,"Bay St. + Tapley St., Springfield",OPERATOR,F
2023,2,16,4,4,PM,"Chicopee St. + Florence St., Chicopee",PEDESTRIAN,M
2023,2,14,12,0,AM,"Wilmington Rd. + Prouty Rd., Burlington",OPERATOR,UNK
2023,2,13,5,40,PM,"I-91 SOUTH, MM 17.4, Holyoke",OPERATOR,M
2023,2,13,1,38,PM,"SR-24 SOUTH, MM 34.2, Brockton",OPERATOR,M
2023,2,12,9,34,PM,"I-90 EAST, MM 52.1, Chicopee",OPERATOR,F
2023,2,12,3,46,AM,"468 Randolph St., Abington",OPERATOR,M
2023,2,11,4,31,PM,"180 Boston Rd., Springfield",OPERATOR,F
2023,2,11,4,45,AM,"Crescent Ave. EAST + Vernon St., Chelsea",PEDESTRIAN,M
2023,2,7,4,9,AM,"595 Southbridge St., Worcester",OPERATOR,M
2023,2,6,5,43,PM,"484 Pittsfield Rd., Lenox",PEDESTRIAN,M
2023,2,5,4,43,PM,"SR-3A (Lincoln St.) + Shipyard Dr., Hingham",OPERATOR,M
2023,2,5,1,44,AM,"Liberty St. + Calvin St., Springfield",OPERATOR,M
2023,2,3,11,39,PM,"131 Main St., Cotuit",OPERATOR,M
2023,2,3,5,43,PM,"519 Podunk Rd., East Brookfield",OPERATOR,M
2023,2,3,11,58,AM,"212 Feeding Hills Rd., Southwick",PASSENGER,F
2023,2,2,3,39,PM,"260 Milton St., Dedham",OPERATOR,M
2023,1,30,9,13,AM,"West St. (300 Block), Pittsfield",PEDESTRIAN,F
2023,1,30,2,6,AM,"35 Lafayette Sq,, Haverhill",OPERATOR,M
2023,1,26,2,1,PM,"445 Main St., Wareham",OPERATOR,M
2023,1,23,11,46,AM,"91 Concord Rd. EAST, Acton",PEDESTRIAN,F
2023,1,22,9,2,PM,"I-290 EAST, prior to EXIT 22, Worcester",OPERATOR,M
2023,1,22,6,48,PM,"Main St. + Hedge St., Fairhaven",OPERATOR,M
2023,1,20,10,35,PM,"Melnea Cass Blvd. + Mass Ave., Boston",PEDESTRIAN,M
2023,1,19,7,25,AM,"I-90 EAST, MM 88.9, Auburn",OPERATOR,M
2023,1,17,9,34,AM,"SR-119 NORTH + Beaver Brooke, Littleton",OPERATOR,M
2023,1,15,7,15,AM,"76 Myricks St., Berkley",PASSENGER,M
2023,1,12,1,4,PM,"241 Glen Charlie Rd., Wareham",OPERATOR,F
2023,1,9,4,51,PM,"90 South Main St., Sharon",PEDESTRIAN,M
2023,1,7,5,39,PM,"I-95 NORTH, MM 26.2, Westwood",MOTORCYCLE: OPERATOR,M
2023,1,4,6,30,PM,"North Ave. + Yale Ave., Wakefield",OPERATOR,F
2023,1,1,8,14,PM,"144 Littleton Rd., Chelmsford",OPERATOR,M
2023,1,1,1,18,PM,"I-495 SOUTH, EXIT 88, Chelmsford",OPERATOR,F
2022,12,31,7,3,PM,"785 Armory St., Springfield",OPERATOR,M
2022,12,31,4,49,PM,"224 College Highway, Southwick",OPERATOR,F
2022,12,30,11,0,PM,"I-95 SOUTH, MM 17, Sharon",OPERATOR,M
2022,12,29,12,57,AM,"SR-2A (State Rd.), Phillipston",OPERATOR,M
2022,12,26,8,43,PM,"414 North Main St., Sharon",PEDESTRIAN,M
2022,12,26,1,27,PM,"93 West St., Douglas",PEDESTRIAN,F
2022,12,23,11,31,AM,"SR-132 (1481 Iyannough Rd.), Centerville",PEDESTRIAN,M
2022,12,22,3,15,PM,"400 Cambridge St., Woburn",OPERATOR,M
2022,12,22,12,32,PM,"59 1/2 South Main St. SOUTH, Acushnet",BICYCLIST,M
2022,12,20,5,34,PM,"251 Piper Rd. + Monastery Ave., West Springfield",PEDESTRIAN,F
2022,12,19,5,20,PM,"SR-24 SOUTH, MM 29, West Bridgewater",OPERATOR,F
2022,12,17,6,23,PM,"1600 Falmouth Rd., Barnstable",PASSENGER,F
2022,12,15,4,41,PM,"122 Mashapaug Rd., Holland",OPERATOR,M
2022,12,14,5,8,PM,"I-90 WEST, MM 85.6, Charlton",OPERATOR,F
2022,12,14,3,42,PM,"Congress St. + Dwight St., Springfield",PEDESTRIAN,M
2022,12,14,4,21,AM,"Sumner St. + Ryan Rd., Stoughton",OPERATOR,M
2022,12,13,2,46,PM,"Park St. + Tremont St., Rehoboth",PASSENGER,M
2022,12,12,12,48,PM,"Harrison Ave. + Bernardston Rd., Greenfield",PEDESTRIAN,M
2022,12,11,4,39,PM,"I-495 SOUTH, MM 114, Merrimac",OPERATOR,F
2022,12,11,2,38,AM,"I-93 NORTH, near EXIT 15, Boston",PEDESTRIAN,M
2022,12,11,1,3,AM,"I-391 NORTH, MM 2.6, Chicopee",OPERATOR,M
2022,12,10,5,0,PM,"192 Main St. + Lakeview Rd., Foxborough",OPERATOR,F
2022,12,10,11,2,AM,"331 Highland Ave., Salem",PEDESTRIAN,F
2022,12,8,5,57,PM,"I-495 SOUTH, MM 47, Bellingham",OPERATOR,F
2022,12,8,2,42,PM,"Milestone Rd. + New South Rd., Nantucket",MOTORCYCLE: OPERATOR,M
2022,12,8,8,58,AM,"933 Meadow St., Chicopee",BICYCLIST,M
2022,12,7,11,27,AM,"US-20 EAST + Old Worcester Rd., Charlton",OPERATOR,M
2022,12,7,11,27,AM,"US-20 EAST + Old Worcester Rd., Charlton",OPERATOR,F
2022,12,7,3,13,AM,"I-93 SOUTH, EXIT 38, Andover",OPERATOR,F
2022,12,7,2,16,AM,"Paramount Drive & New State Highway, Raynham",PASSENGER,M
2022,12,6,9,5,PM,"US-3, near EXIT 20, Duxbury",OPERATOR,F
2022,12,5,5,48,PM,"I-395 SOUTH, MM 10.4, Auburn",OPERATOR,M
2022,12,3,12,20,AM,"1059 Grafton St., Worcester",PASSENGER,F
2022,12,3,12,20,AM,"1059 Grafton St., Worcester",OPERATOR,M
2022,11,30,4,55,PM,"945 Chicopee St., Chicopee",PEDESTRIAN,M
2022,11,29,7,48,PM,"I-190 NORTH, MM 4.6, West Boylston",PEDESTRIAN,F
