year,month,day,hour,minute,AM/PM,lat,lon,node_1,node_2
2017,6,10,5,13,PM,38.98793,-77.09932167,49163871,49196677
2015,8,20,7,10,AM,39.10757833,-77.189085,341504036,341537324
2018,11,8,6,53,AM,39.03694167,-76.98919833,49197728,49164261
2017,2,16,5,0,PM,38.94990066,-77.11915389,49172622,1059309507
2016,2,20,3,0,AM,39.13471,-77.22564333,2066988923,49282997
2015,7,2,6,38,PM,39.05802946,-77.05029756,3669461806,4059194184
2017,9,1,4,58,PM,39.04022833,-76.98552833,49164270,1019519500
2019,4,26,3,32,PM,39.03358833,-77.08984333,49242501,49300151
2016,9,30,8,25,PM,39.10832333,-76.93666833,49208212,4919593359
2017,11,6,10,2,AM,39.14103667,-77.15231667,1170814388,1170814419
2018,8,14,2,39,PM,39.02224833,-77.10269,49291649,5192106543
2015,12,30,1,19,PM,39.096435,-76.93758333,49310353,81327817
2017,5,5,12,55,AM,39.13742833,-77.16117833,341438176,1168909938
2016,5,28,2,28,PM,39.23627667,-77.28844833,838252311,49308248
2017,10,19,5,5,PM,39.079835,-77.001475,797787223,797787115
2019,3,29,5,26,PM,39.09031515,-77.04803905,49262811,49270235
2016,1,31,3,15,PM,38.96402,-77.13582,49149371,49158375
2016,3,9,8,24,PM,38.98422167,-77.09416,666985881,1037951709
2016,6,11,11,11,AM,39.079465,-77.13558333,900898986,900898992
2016,7,20,12,48,PM,39.01351,-77.09887,49193170,49193178
2018,4,2,8,35,AM,39.09657667,-77.20366833,49194215,1069591521
2018,4,10,12,16,PM,39.052795,-77.07668833,3362382505,1184915072
2016,4,11,10,41,AM,39.05712241,-77.08442867,49251159,1193761507
2016,11,5,7,45,AM,39.13305213,-77.24480331,49269154,49315863
2017,6,8,12,0,PM,39.04583595,-77.23382235,49168642,49191747
2016,3,16,8,50,AM,39.17153667,-77.23591667,49159577,674556213
2016,7,23,2,37,AM,38.99965795,-76.99547321,49321845,5354418086
2017,9,17,9,52,PM,39.067555,-77.06025833,3742207491,582342655
2015,9,16,1,21,PM,39.015835,-77.04288,49135375,636143177
2017,3,14,10,12,AM,39.06664738,-76.93744898,49190346,49343297
2016,5,26,3,31,PM,39.11392,-77.242935,1170540328,1170540283
2017,11,16,4,0,PM,39.04124667,-77.0521,555787066,555786716
2018,3,13,2,58,PM,39.06035967,-77.04476317,49160934,1193745354
2016,6,2,4,20,PM,39.13712167,-77.20555,49211996,1639990337
2017,12,14,8,35,AM,39.08227,-77.080205,49257997,49257995
2018,11,13,6,30,PM,38.991575,-77.00208167,49158306,49272283
2018,1,15,3,15,PM,39.19486167,-77.15316333,49178958,49178963
2018,2,12,6,35,PM,39.22831333,-77.25033,2146356084,2699308740
2017,7,5,5,5,PM,39.015745,-76.97798667,49213662,49281498
2016,10,9,5,43,PM,39.19842167,-77.24471,49182978,1065063878
2017,4,28,8,54,AM,39.034135,-77.04953,49208838,49208840
2018,6,4,5,50,AM,39.12825839,-77.19431072,49171273,49171265
2016,3,11,11,55,AM,39.15176,-77.21971,290052727,290052722
2016,10,9,9,1,PM,38.994635,-77.03027833,1156497320,1156421090
2017,4,22,4,57,AM,39.1597,-77.20226,903705935,903705941
2016,7,18,11,17,AM,39.08314333,-76.94815333,49229686,869770106
2015,7,3,10,11,AM,38.99618833,-77.04221667,49212862,49212870
2017,1,26,3,58,PM,39.06694667,-77.12830333,296992023,296991967
2017,7,20,9,31,AM,38.997875,-77.10936833,293562686,293562740
2017,5,18,7,41,AM,39.06067167,-77.02565,49165290,49176217
2016,12,20,3,45,PM,39.053185,-78.21582167,154538045,154567357
2016,12,23,5,17,PM,39.02469667,-77.12663833,842884560,3719393223
2017,3,1,9,30,PM,39.17193089,-77.19977036,1982220334,1982220355
2018,9,22,5,52,PM,39.12604,-77.072245,49234571,582647254
2016,9,13,3,41,PM,38.993575,-77.07694167,567470929,567470930
2016,11,30,12,16,PM,39.07209,-77.16315667,49148733,290050153
2018,5,20,11,28,AM,39.04483813,-77.26129085,49173877,49174376
2016,12,19,5,45,PM,39.01624,-77.09745833,290763283,84963508
2017,2,8,8,36,AM,39.03860833,-77.054455,49147591,49133445
2017,5,21,2,56,PM,39.06882667,-77.014875,1193752150,1193752134
2015,4,16,8,32,AM,39.15850667,-77.20356167,903709714,903705935
2018,7,28,12,40,PM,39.02645867,-77.148261,49236886,3536924180
