year,month,day,hour,minute,AM/PM,location,type,gender,lat,lon
2023,1,15,7,15,AM,"76 Myricks St., Berkley",PASSENGER,M,41.831262,-71.029553
2023,1,12,1,4,PM,"241 Glen Charlie Rd., Wareham",OPERATOR,F,41.78420149999999,-70.6476339
2023,1,9,4,51,PM,"90 South Main St., Sharon",PEDESTRIAN,M,42.1203861,-71.1801739
2023,1,7,5,39,PM,"I-95 NORTH, MM 26.2, Westwood",MOTORCYCLE: OPERATOR,M,42.2258442,-71.1781404
2023,1,4,6,30,PM,"North Ave. + Yale Ave., Wakefield",OPERATOR,F,42.5042244,-71.0771303
2023,1,1,8,14,PM,"144 Littleton Rd., Chelmsford",OPERATOR,M,42.5924621,-71.3667808
2023,1,1,1,18,PM,"I-495 SOUTH, EXIT 88, Chelmsford",OPERATOR,F,42.6003732,-71.3607998
2022,12,31,7,3,PM,"785 Armory St., Springfield",OPERATOR,M,42.127474,-72.59656799999999
2022,12,31,4,49,PM,"224 College Highway, Southwick",OPERATOR,F,42.0274012,-72.78435879999999
2022,12,30,11,0,PM,"I-95 SOUTH, MM 17, Sharon",OPERATOR,M,42.1095898,-71.2308492
2022,12,29,12,57,AM,"SR-2A (State Rd.), Phillipston",OPERATOR,M,42.5717746,-72.1275315
2022,12,26,8,43,PM,"414 North Main St., Sharon",PEDESTRIAN,M,42.1380576,-71.15282909999999
2022,12,26,1,27,PM,"93 West St., Douglas",PEDESTRIAN,F,42.0716269,-71.7347457
2022,12,23,11,31,AM,"SR-132 (1481 Iyannough Rd.), Centerville",PEDESTRIAN,M,41.6782136,-70.3180507
2022,12,22,3,15,PM,"400 Cambridge St., Woburn",OPERATOR,M,42.4590092,-71.1635807
2022,12,22,12,32,PM,"59 1/2 South Main St. SOUTH, Acushnet",BICYCLIST,M,41.6710235,-70.9091207
2022,12,20,5,34,PM,"251 Piper Rd. + Monastery Ave., West Springfield",PEDESTRIAN,F,42.1168238,-72.6368182
2022,12,19,5,20,PM,"SR-24 SOUTH, MM 29, West Bridgewater",OPERATOR,F,42.0176272,-71.0459131
