year,month,day,hour,minute,AM/PM,lat,lon,node_1,node_2
2018,7,6,4,44,PM,39.05388833,-77.10685167,49171893,5344537671
2017,3,10,9,15,AM,39.02384627,-76.97899103,667224544,667224555
2015,9,10,4,26,PM,39.05766333,-77.048375,49143480,49285888
2015,1,9,11,48,AM,38.99948167,-76.99542667,5354418086,49237817
2018,9,11,6,30,AM,39.04845,-77.11962,2519218354,296986628
2018,7,24,11,16,AM,39.01143115,-77.02859044,49177071,49259336
2015,10,12,6,59,AM,39.05,-77.05,49171456,582342425
2016,6,23,2,39,PM,39.02602,-77.13936167,292599715,49232770
2017,6,27,4,30,PM,39.08425167,-76.93521833,49228822,49228847
2018,11,5,11,5,PM,39.07731167,-76.98043667,49305810,49314375
2018,4,24,1,19,PM,39.09674833,-77.19397333,900040912,900040916
2017,4,2,7,10,AM,39.03256833,-77.00357,49184657,711252189
2018,2,7,9,48,PM,39.00429333,-77.02363333,49194666,49324493
2015,10,9,7,45,AM,39.006304,-76.9974339,49256209,554948931
2018,12,25,7,8,PM,39.09181,-77.070605,393392578,393392576
2017,6,5,1,50,AM,39.12687472,-77.19923258,49252914,49271780
2015,6,8,10,0,AM,38.97524972,-76.99455857,1502527507,49267093
2016,10,4,7,15,PM,39.08511469,-77.14820623,4557888153,296995360
2016,10,19,1,31,PM,39.06012167,-77.08962333,49166711,49251159
2019,3,20,6,55,AM,39.07262333,-77.04547167,1193729535,2000680694
2015,10,18,3,46,AM,39.02544167,-77.019835,555797946,555797702
2019,3,27,10,49,AM,39.13297333,-77.24444333,869832862,1583461167
2019,3,13,9,29,AM,39.03474333,-77.10574167,49267768,49347634
2017,1,4,7,10,PM,38.98005167,-77.07096667,49184002,393453970
2018,4,24,10,10,PM,39.14829149,-77.23744065,49299816,1992176937
2016,12,10,5,48,PM,39.03332667,-77.04879833,582340419,582343718
2016,12,21,12,13,AM,39.144835,-77.21914333,2084021323,2466058030
2018,12,14,3,19,AM,39.05601833,-76.95437,49159632,49274512
2017,12,6,8,51,AM,39.01997,-77.01359333,555739429,635517666
2016,7,6,12,41,AM,39.043645,-77.06254167,1184915238,49216819
2016,11,21,3,17,PM,39.19033371,-77.1918565,49129256,903706301
2015,10,17,8,22,AM,39.03199167,-76.98454667,49210748,49162297
2018,10,15,2,30,PM,39.148822,-77.27670067,49171631,49315924
2015,6,12,5,37,PM,39.00051167,-77.00342333,49272351,1458415602
2018,4,21,6,8,PM,39.06955242,-77.13060826,49264860,296992023
2015,2,24,7,51,AM,39.11340667,-76.95748667,49157622,49211566
2015,5,25,1,15,AM,39.03357333,-77.02386333,555795352,555794670
2015,8,2,9,35,PM,39.05933325,-77.06296563,49233502,49358067
2017,2,17,12,51,PM,39.0679,-76.95955333,1295630098,81327892
2017,6,6,1,57,PM,38.98835,-77.100355,49228317,49318385
2018,10,9,11,15,AM,39.00979,-77.01588167,49163457,49206416
2018,10,20,2,24,PM,39.02993667,-77.07537667,49196308,582374560
2017,3,9,1,36,PM,39.06955333,-77.161305,1934205763,1934205765
2015,9,8,5,55,PM,39.05377833,-77.16339667,49184704,49197195
2017,7,17,11,45,AM,39.01520749,-77.04246283,649622821,636143284
2015,9,15,12,27,PM,39.101405,-77.07612,582343161,582342997
2016,2,27,3,42,PM,39.16306333,-77.28294667,1170553424,49171165
2018,5,1,6,11,AM,39.11839833,-77.16729167,49162986,600643014
2017,8,31,4,30,PM,39.169655,-77.15413,49178902,49178900
2019,5,17,3,41,PM,39.15954667,-77.18554333,49214601,1611661639
2016,6,21,6,27,PM,39.08262833,-77.21708833,49191826,49191828
