year,month,day,hour,minute,AM/PM,location,type,gender,lat,lon,node_1,node_2
2023,2,26,6,46,PM,"520 Foundry St., Easton",PEDESTRIAN,M,42.0233152,-71.1251036,66327356,66378930
2023,2,25,7,40,AM,"80 East Mountain St., Worcester",OPERATOR,M,42.3206472,-71.78652079999999,74451766,74599361
2023,2,24,1,22,AM,"I-95 SOUTH, EXIT 33, Needham",PEDESTRIAN,M,42.2890348,-71.2118644,68343379,4715878251
2023,2,21,12,5,PM,"1215 Cranberry Hwy., Wareham",OPERATOR,M,41.8003359,-70.7738135,69738974,73977217
2023,2,20,4,15,AM,"128 Dilla St., Milford",PEDESTRIAN,M,42.1618184,-71.5101036,67206839,67208014
2023,2,19,9,0,PM,"I-93 NORTH, MM 5.8, Braintree",OPERATOR,M,42.2217719,-71.0332471,330128437,330118748
2023,2,18,1,48,AM,"Bay St. + Tapley St., Springfield",PASSENGER,F,42.1275121,-72.5579928,69991437,70051958
2023,2,18,1,48,AM,"Bay St. + Tapley St., Springfield",OPERATOR,F,42.1275121,-72.5579928,69991437,70051958
2023,2,16,4,4,PM,"Chicopee St. + Florence St., Chicopee",PEDESTRIAN,M,42.1611276,-72.6151327,64747131,64808842
2023,2,14,12,0,AM,"Wilmington Rd. + Prouty Rd., Burlington",OPERATOR,UNK,42.5293795,-71.20579529999999,64522528,64567533
2023,2,13,5,40,PM,"I-91 SOUTH, MM 17.4, Holyoke",OPERATOR,M,42.2215285,-72.6357634,62953936,62957599
2023,2,13,1,38,PM,"SR-24 SOUTH, MM 34.2, Brockton",OPERATOR,M,42.0847834,-71.0617189,64280453,64096279
2023,2,12,9,34,PM,"I-90 EAST, MM 52.1, Chicopee",OPERATOR,F,42.1683488,-72.5687108,64772838,64809633
2023,2,12,3,46,AM,"468 Randolph St., Abington",OPERATOR,M,42.1307766,-70.9676791,61320441,61324533
2023,2,11,4,31,PM,"180 Boston Rd., Springfield",OPERATOR,F,42.1260774,-72.5341394,69995644,70164352
2023,2,7,4,9,AM,"595 Southbridge St., Worcester",OPERATOR,M,42.24576,-71.81065,74535284,74725416
